bookId,COUNT(*),cnum
4216,5,5
4218,2,2
4220,14,14
4222,18,18
4223,5,5
4224,46,46
4227,2,2
4228,32,32
4229,7,7
4231,5,5
4233,4,4
4234,21,21
4235,30,30
4236,6,6
4238,20,20
4240,54,54
4241,8,8
4244,85,85
4245,11,11
4246,38,38
4248,35,35
4253,57,57
4254,11,11
4256,2,2
4259,22,22
4264,7,7
4265,59,59
4266,4,4
4269,38,38
4270,41,41
4271,74,74
4272,44,44
4274,5,5
4275,10,10
4276,59,59
4277,38,38
4278,69,69
4279,36,36
4281,17,17
4282,16,16
4283,19,19
4285,12,12
4286,10,10
4288,61,61
4289,4,4
4291,60,60
4292,5,5
4298,203,102
4299,78,78
4304,17,17
4305,108,108
4306,177,90
4307,293,293
4308,53,53
4312,58,58
4314,24,24
4315,60,60
4316,54,54
4319,120,120
4320,11,11
4321,80,80
4324,96,96
4326,37,37
4327,52,52
4330,33,33
4331,17,17
4332,34,34
4333,39,39
4335,48,48
4345,20,20
4346,50,50
4347,31,31
4350,113,113
4354,27,27
4356,178,178
4358,190,190
4359,80,80
4362,2,2
4366,7,7
4367,91,91
4368,19,19
4370,2,2
4371,48,48
4374,24,24
4375,21,21
4378,5,5
4379,12,12
4380,70,70
4382,16,16
4383,28,28
4384,33,33
4385,64,64
4386,179,179
4387,80,80
4388,6,6
4389,49,49
4392,17,17
4393,7,7
4394,32,32
4395,12,12
4396,28,28
4397,60,60
4398,2,2
4404,16,16
4406,12,12
4409,3,3
4411,25,25
4413,23,23
4414,43,43
4415,27,27
4418,46,46
4420,10,10
4421,2,2
4422,132,132
4423,7,7
4424,44,44
4425,21,21
4426,19,19
4433,64,64
4434,103,103
4436,157,157
4438,166,166
4439,82,82
4440,114,114
4441,72,72
4444,72,72
4445,91,91
4446,182,182
4447,172,86
4448,286,286
4450,20,20
4452,97,97
4453,48,48
4458,138,138
4459,188,188
4460,79,79
4461,116,116
4462,34,34
4463,147,147
4467,52,52
4469,119,119
4470,108,108
4471,12,12
4473,27,27
4474,372,372
4475,173,173
4476,3,3
4477,101,101
4478,107,107
4482,103,103
4484,196,196
4487,158,35
4488,80,80
4491,139,139
4492,89,89
4493,99,99
4494,159,159
4495,165,165
4496,124,124
4498,48,48
4505,117,117
4509,58,58
4510,70,70
4513,31,31
4514,170,170
4515,8,8
4516,15,15
4521,113,113
4525,141,141
4526,5,5
4530,12,12
4533,183,183
4534,19,19
4536,2,2
4538,17,17
4539,93,93
4540,17,17
4542,2,2
4545,25,25
4547,33,33
4548,2,2
4549,2,2
4551,5,5
4554,30,30
4576,80,80
4581,129,129
4583,69,69
4587,47,47
4591,140,140
4592,62,62
4595,182,182
4597,171,171
4598,33,33
4600,32,32
4601,57,57
4602,36,36
4603,115,115
4605,122,61
4606,26,26
4608,28,28
4609,90,90
4611,134,86
4612,45,45
4615,140,140
4617,201,116
4619,106,106
4620,50,50
4621,35,35
4622,79,79
4623,52,52
4624,142,142
4626,6,6
4627,8,8
4628,84,84
4634,29,29
4635,21,21
4636,75,75
4638,18,18
4639,71,71
4640,10,10
4641,10,10
4642,20,20
4643,18,18
4644,101,101
4647,4,4
4648,12,12
4650,27,27
4651,58,58
4652,141,141
4654,163,85
4658,65,65
4660,13,13
4662,44,44
4663,8,8
4666,71,71
4667,82,82
4668,9,9
4669,17,17
4671,7,7
4672,19,19
4673,21,21
4674,48,48
4675,396,396
4676,8,8
4678,57,57
4679,33,33
4682,96,96
4684,33,33
4688,50,50
4689,41,41
4691,146,146
4692,80,80
4693,58,58
4694,163,163
4695,40,40
4696,5,5
4697,19,19
4698,17,17
4699,4,4
4700,101,101
4701,76,76
4702,11,11
4703,112,55
4704,8,8
4707,80,80
4709,44,44
4710,59,59
4711,74,74
4712,135,135
4714,66,66
4715,40,40
4716,24,24
4717,49,25
4718,36,36
4719,3,3
4720,45,45
4721,66,66
4723,48,48
4725,104,104
4726,30,30
4727,5,5
4728,10,10
4729,32,32
4730,168,168
4731,27,27
4732,2,2
4733,15,15
4734,28,28
4735,28,28
4737,5,5
4738,25,25
4739,58,58
4740,4,4
4741,3,3
4742,20,20
4745,38,38
4746,113,113
4747,10,10
4748,56,56
4750,62,62
4751,21,21
4753,2,2
4755,15,15
4757,17,17
4758,3,3
4761,6,6
4764,46,46
4765,40,53
4766,3,3
4767,8,8
4768,15,15
4769,61,61
4773,5,5
4775,83,83
4776,48,48
4777,4,4
4778,75,75
4779,20,20
4783,15,15
4787,35,35
4788,62,62
4789,20,20
4790,10,10
4791,78,78
4794,96,96
4796,21,21
4797,19,19
4798,29,29
4799,5,5
4800,21,21
4801,7,7
4803,47,47
4804,66,66
4806,11,11
4807,20,20
4808,35,35
4809,30,30
4810,6,6
4815,88,88
4833,2,2
4834,76,76
4843,44,44
4844,4,4
4846,7,7
4847,139,139
4848,106,106
4851,120,120
4856,56,56
4862,161,161
4863,162,162
4865,24,24
4867,134,134
4869,134,134
4870,40,40
4871,9,9
4873,27,27
4874,35,35
4875,57,57
4878,21,21
4879,4,4
4881,20,20
4882,9,9
4884,49,49
4886,34,34
4888,42,42
4892,91,91
4893,190,190
4896,178,178
4897,45,45
4899,7,7
4903,104,104
4904,184,184
4906,67,67
4909,17,17
4911,104,104
4915,2,2
4916,24,24
4917,65,65
4918,138,138
4919,114,114
4924,40,40
4927,49,49
4929,14,14
4930,121,121
4931,33,33
4932,129,129
4933,123,123
4935,56,56
4939,113,113
4941,35,35
4942,113,113
4943,153,153
4944,180,180
4946,101,101
4948,159,81
4949,397,161
4950,43,43
4951,43,43
4952,336,162
4954,128,128
4957,152,77
4958,153,77
4961,142,142
4962,136,136
4963,27,27
4964,43,43
4965,62,62
4966,170,170
4968,3,3
4969,3,3
4970,27,27
4971,66,66
4972,54,54
4973,99,99
4974,162,162
4978,42,42
4983,41,41
4984,156,156
4985,15,15
4986,5,5
4987,10,10
4988,26,26
4990,39,39
4991,103,103
4992,97,97
4993,145,85
4995,37,37
4997,109,109
5000,14,14
5001,191,191
5002,153,153
5003,41,41
5004,42,42
5005,12,12
5006,33,33
5009,118,118
5010,63,63
5013,8,8
5014,138,138
5015,4,4
5017,104,104
5019,57,57
5020,71,71
5022,61,61
